feature_type,channel,start,end,annotation_time
Spindle,C3-A1,282.3,283.2,2015-11-11 17:20:55.488305
Spindle,C3-A1,340.36,340.95,2015-11-11 17:22:21.890930
Spindle,C3-A1,360.9,361.24,2015-11-11 17:22:47.816062
Spindle,C3-A1,366.99,367.48,2015-11-11 17:22:45.687202
Spindle,C3-A1,367.12,367.3,2015-11-11 17:22:44.378206
Spindle,C3-A1,396.75,397.63,2015-11-11 17:23:03.404660
Spindle,C3-A1,422.86,423.63,2015-11-11 17:23:45.258285
Spindle,C3-A1,437.23,438.42,2015-11-11 17:23:42.055221
Spindle,C3-A1,453.91,454.75,2015-11-11 17:23:59.178202
Spindle,C3-A1,470.75,473.46,2015-11-11 17:24:14.044140
Spindle,C3-A1,693.19,695.06,2015-11-11 17:25:30.251522
Spindle,C3-A1,702.73,703.56,2015-11-11 17:25:37.473781
Spindle,C3-A1,708.0,709.22,2015-11-11 17:25:35.884784
Spindle,C3-A1,715.88,717.16,2015-11-11 17:25:40.783620
Spindle,C3-A1,727.03,727.62,2015-11-11 17:25:51.304163
Spindle,C3-A1,728.73,729.52,2015-11-11 17:25:48.332589
Spindle,C3-A1,735.31,736.48,2015-11-11 17:25:46.225157
Spindle,C3-A1,740.68,741.42,2015-11-11 17:25:59.567870
Spindle,C3-A1,743.14,743.83,2015-11-11 17:25:58.011099
Spindle,C3-A1,759.5,759.93,2015-11-11 17:26:01.863238
Spindle,C3-A1,811.19,812.83,2015-11-11 17:26:16.073498
Spindle,C3-A1,847.92,848.82,2015-11-11 17:26:28.368458
Spindle,C3-A1,1014.9,1016.12,2015-11-11 17:27:20.698430
Spindle,C3-A1,1028.07,1029.13,2015-11-11 17:27:26.018141
