feature_type,channel,start,end
Spindle,C3-A1,282.37,282.75
Spindle,C3-A1,290.46,291.05
Spindle,C3-A1,291.39,291.75
Spindle,C3-A1,293.41,293.89
Spindle,C3-A1,311.54,311.97
Spindle,C3-A1,340.32,340.86
Spindle,C3-A1,367.04,367.53
Spindle,C3-A1,378.08,378.6
Spindle,C3-A1,383.29,384.64
Spindle,C3-A1,393.06,393.96
Spindle,C3-A1,396.77,397.41
Spindle,C3-A1,402.71,403.22
Spindle,C3-A1,417.97,419.14
Spindle,C3-A1,423.02,423.5
Spindle,C3-A1,437.3,438.51
Spindle,C3-A1,441.08,441.94
Spindle,C3-A1,444.08,444.91
Spindle,C3-A1,453.98,454.66
Spindle,C3-A1,467.98,468.98
Spindle,C3-A1,470.87,471.45
Spindle,C3-A1,525.34,525.95
Spindle,C3-A1,540.79,541.37
Spindle,C3-A1,553.08,553.84
Spindle,C3-A1,575.92,576.84
Spindle,C3-A1,580.95,581.78
Spindle,C3-A1,595.2,596.28
Spindle,C3-A1,607.1,607.94
Spindle,C3-A1,617.7,618.36
Spindle,C3-A1,631.41,632.52
Spindle,C3-A1,637.25,638.11
Spindle,C3-A1,665.75,666.88
Spindle,C3-A1,678.02,678.83
Spindle,C3-A1,692.99,694.27
Spindle,C3-A1,702.7,703.4
Spindle,C3-A1,707.8,709.15
Spindle,C3-A1,728.79,729.58
Spindle,C3-A1,735.4,736.28
Spindle,C3-A1,742.88,743.81
Spindle,C3-A1,759.44,760.0
Spindle,C3-A1,781.69,782.35
Spindle,C3-A1,811.52,812.63
Spindle,C3-A1,814.09,815.15
Spindle,C3-A1,826.47,827.39
Spindle,C3-A1,834.18,835.35
Spindle,C3-A1,847.31,848.59
Spindle,C3-A1,858.29,860.0
Spindle,C3-A1,926.4,927.33
Spindle,C3-A1,945.89,947.1
Spindle,C3-A1,960.02,961.8
Spindle,C3-A1,975.44,976.62
Spindle,C3-A1,992.45,993.46
Spindle,C3-A1,1015.13,1016.21
Spindle,C3-A1,1020.86,1021.94
Spindle,C3-A1,1035.49,1036.5
Spindle,C3-A1,1063.95,1064.67
